Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Percent_Bleaching,ClimSST,Temperature_Mean,Windspeed,SSTA,SSTA_Maximum,SSTA_Frequency,SSTA_DHW,TSA,TSA_Mean,TSA_Frequency,TSA_DHW,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
29,-23.4439,151.9286,Pacific,Southern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,989.12,Sheltered,0.0731,51.57,15,2,1998,nd,75,297.23,297.35,5,5.48,5.59,20,31.79,5.24,-0.13,20,30.77,10.05,15-02-1998,Acropora colonies (staghorn corals) are mainly affected although there is a general whitening of most species.  The corals showing the next greatest effect are the bushy species such as Pocillopora; Stylophora and Seriatopora.(Hoegh-Guldberg; O. et al.),Acropora colonies (staghorn corals) are mainly affected although there is a general whitening of most species.  The corals showing the next greatest effect are the bushy species such as Pocillopora; Stylophora and Seriatopora.(Hoegh-Guldberg; O. et al.),Bleaching percent averaged from code: Severe (>50% Bleached)
63,-18.7502,147.2688,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,54758.06,Sheltered,0.0458,44.2,15,2,1998,nd,75,301.47,299.18,2,2.05,3.63,3,4.43,2,-2.7,3,4.33,0.44,15-02-1998,80% of corals bleached,80% of corals bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
65,-17.2661,146.3636,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,34053.35,Sheltered,0.0755,46.35,15,2,1998,nd,75,301.62,299.52,3,0.85,2.98,2,2.49,0.73,-2.68,2,2.44,0.4,15-02-1998,significant bleaching,significant bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
81,-20.193,150.082,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,131474.73,Sheltered,0.0743,48,15,3,2002,nd,75,299.76,298.52,8,0.46,3.66,3,3.14,-0.02,-2.6,2,2.86,0.24,15-03-2002,lots of white on slope,lots of white on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
85,-20.1559,149.0719,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Deloraine Island,nd,15.37,Sheltered,0.0627,46.13,15,3,2002,nd,75,299.9,298.55,7,0.41,2.85,14,4.91,-0.09,-2.86,1,1.31,0.37,15-03-2002,ie Minstrel rock on nth end. South Deloraine was cat 4.,ie Minstrel rock on nth end. South Deloraine was cat 4.,Bleaching percent averaged from code: Severe (>50% Bleached)
95,-18.6587,146.4852,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Orpheus Island,nd,417.08,Sheltered,0.0832,46.29,15,2,1998,nd,75,301.94,299.23,2,1.28,3.12,4,6.15,1.22,-3.23,4,6.11,0.57,15-02-1998,84-87% corals bleached,84-87% corals bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
95,-18.6587,146.4852,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Orpheus Island,nd,417.08,Sheltered,0.0832,46.29,15,5,1998,nd,75,296.7,299.23,4,0.81,3.12,9,6.8,-3.49,-3.23,4,0,0.57,15-05-1998,84-87% corals bleached,84-87% corals bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
121,-19.15,146.85,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,275.04,Sheltered,0.1919,43.39,15,4,1998,nd,75,262.15,299.11,4,0.92,3.34,7,8.86,-1.76,-3.39,4.43,7.07,0.61,15-04-1998,12% bleached at the deeper area; 30% bleached at the shallow area Millepora and Pocilloporid severly affected. Acropora palifera highly susceptable. Tabular and areborescent Acropora high mortality. Montipora bimodal reponse. Astreopora not severe,12% bleached at the deeper area; 30% bleached at the shallow area Millepora and Pocilloporid severly affected. Acropora palifera highly susceptable. Tabular and areborescent Acropora high mortality. Montipora bimodal reponse. Astreopora not severe,Bleaching percent averaged from code: Severe (>50% Bleached)
436,-20.1069,148.7145,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Double Cone Island,nd,269.3,Sheltered,0.0783,46.8,15,3,2002,nd,75,299.84,298.55,6,0.41,2.71,13,9.9,-0.26,-3.11,6,7.91,0.44,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
437,-20.1007,148.3156,Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Poole Island,nd,179.84,Sheltered,0.1601,44.25,15,3,2002,nd,75,299.72,298.59,5,0.03,2.86,9,2.05,-0.8,-3.25,1,1.01,0.68,15-03-2002,good cover,good cover,Bleaching percent averaged from code: Severe (>50% Bleached)
