Ocean_Name,Exposure,Percent_Bleaching,Temperature_Mean,Windspeed,TSA,Bleaching_condition
Pacific,Sheltered,75,297.35,5,5.24,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.18,2,2,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.52,3,0.73,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.52,8,-0.02,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.55,7,-0.09,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.23,2,1.22,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.23,4,-3.49,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.11,4,-1.76,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.55,6,-0.26,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.59,5,-0.8,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.59,5,-0.8,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.64,5,-0.34,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.63,6,0.01,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.54,5,-0.24,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.69,6,1.28,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.68,5,-0.45,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.63,6,-0.42,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,296.53,5,0.1,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.35,7,0.05,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.06,6,-0.67,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.12,6,-0.69,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.53,6,-0.17,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.9,6,0.03,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.86,7,0.04,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,299.53,8,-0.51,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,299.53,9,-0.49,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.53,8,-0.81,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.58,9,-1.1,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.52,8,-0.82,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.53,8,-0.7,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.49,8,-0.75,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.52,8,-0.31,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.54,8,-0.52,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.38,8,-2.41,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.48,8,-0.84,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.57,8,-0.91,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.92,7,-1.75,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,300,6,-0.26,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.52,5,-1.09,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.35,5,-1.23,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,298.71,3,-1.65,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.7,3,-1.41,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,298.85,3,-2.15,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,298.83,3,-1.45,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,298.98,4,-1.19,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.11,4,-2.44,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.11,4,-2.44,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,299.06,5,-0.72,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.2,4,-0.89,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.09,4,-2.04,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.09,4,-2.04,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.07,4,-2.07,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.19,4,-2.37,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.17,4,-1.86,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.17,4,-1.86,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.15,4,-1.61,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.26,4,-2.39,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.19,4,-1.59,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.27,4,1.92,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.24,4,-1.79,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.3,5,-1.19,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.42,5,-2.12,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.39,5,-1.13,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.45,5,-2.56,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.48,5,-2.56,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.46,5,-2.24,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.5,5,-1.42,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,299.5,5,-1,Bleaching percent averaged from code: Severe (>50% Bleached)
Indian,Sheltered,75,301.89,6,0.07,Bleaching percent averaged from code: Severe (>50% Bleached)
Indian,Sheltered,75,301.86,6,-0.17,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,300.19,7,-1.02,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,299.7,6,1.06,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,299.7,6,1.06,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,299.37,5,0.87,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,299.37,6,-1.29,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sometimes,75,299.93,6,-0.55,Bleaching percent averaged from code: Severe (>50% Bleached)
Arabian Gulf,Sheltered,75,298.96,2,3.25,Bleaching percent averaged from code: Severe (>50% Bleached)
Arabian Gulf,Sheltered,75,299.14,2,3.83,Bleaching percent averaged from code: Severe (>50% Bleached)
Arabian Gulf,Sheltered,75,299.19,2,3.39,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.53,5,-2.95,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,301.02,5,1.16,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.55,5,1.44,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.42,5,0.23,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.4,4,0.59,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.35,4,0.51,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.36,4,0.45,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.32,4,0.52,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.27,4,0.99,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sometimes,75,301.16,4,1.69,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.12,4,0.37,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.16,4,1.44,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,301,4,0.68,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.06,4,1.93,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,300.79,4,0.42,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.27,3,-0.7,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,301.04,3,-0.16,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,301.04,9,-1.92,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.27,5,-1.49,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,296.09,5,1,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sometimes,75,299.08,6,0.87,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,298.83,6,0.22,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,299.95,5,0.83,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,300.26,6,0.07,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.08,8,0.02,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Exposed,75,301.07,8,0.93,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,301.06,3,2.05,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,302.43,2,-1.49,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,302.19,3,0.41,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,302.36,3,1.32,Bleaching percent averaged from code: Severe (>50% Bleached)
Indian,Exposed,75,301.14,3,-0.16,Bleaching percent averaged from code: Severe (>50% Bleached)
Indian,Sheltered,75,301.2,4,-0.25,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,295.5,4,0,Bleaching percent averaged from code: Severe (>50% Bleached)
Indian,Exposed,75,300.28,7,-1.07,Bleaching percent averaged from code: Severe (>50% Bleached)
Atlantic,Sheltered,75,302.26,1,-0.17,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,301.4,3,0,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Sheltered,75,301.42,3,0.04,Bleaching percent averaged from code: Severe (>50% Bleached)
Indian,Exposed,75,300.72,8,-0.68,Bleaching percent averaged from code: Severe (>50% Bleached)
Pacific,Exposed,75,299.87,3,0.38,Bleaching percent averaged from code: Severe (>50% Bleached)
