Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_condition
29,-23.4439,151.9286,Pacific,Southern Great Barrier Reef,Sheltered,0.0731,51.57,2,1998,75,297.35,5,5.48,31.79,5.24,10.05,15-02-1998,Acropora colonies (staghorn corals) are mainly affected although there is a general whitening of most species.  The corals showing the next greatest effect are the bushy species such as Pocillopora; Stylophora and Seriatopora.(Hoegh-Guldberg; O. et al.),Acropora colonies (staghorn corals) are mainly affected although there is a general whitening of most species.  The corals showing the next greatest effect are the bushy species such as Pocillopora; Stylophora and Seriatopora.(Hoegh-Guldberg; O. et al.),Bleaching percent averaged from code: Severe (>50% Bleached)
63,-18.7502,147.2688,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0458,44.2,2,1998,75,299.18,2,2.05,4.43,2,0.44,15-02-1998,80% of corals bleached,80% of corals bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
65,-17.2661,146.3636,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0755,46.35,2,1998,75,299.52,3,0.85,2.49,0.73,0.4,15-02-1998,significant bleaching,significant bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
81,-20.193,150.082,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0743,48,3,2002,75,298.52,8,0.46,3.14,-0.02,0.24,15-03-2002,lots of white on slope,lots of white on slope,Bleaching percent averaged from code: Severe (>50% Bleached)
85,-20.1559,149.0719,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0627,46.13,3,2002,75,298.55,7,0.41,4.91,-0.09,0.37,15-03-2002,ie Minstrel rock on nth end. South Deloraine was cat 4.,ie Minstrel rock on nth end. South Deloraine was cat 4.,Bleaching percent averaged from code: Severe (>50% Bleached)
95,-18.6587,146.4852,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0832,46.29,2,1998,75,299.23,2,1.28,6.15,1.22,0.57,15-02-1998,84-87% corals bleached,84-87% corals bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
95,-18.6587,146.4852,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0832,46.29,5,1998,75,299.23,4,0.81,6.8,-3.49,0.57,15-05-1998,84-87% corals bleached,84-87% corals bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
121,-19.15,146.85,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1919,43.39,4,1998,75,299.11,4,0.92,8.86,-1.76,0.61,15-04-1998,12% bleached at the deeper area; 30% bleached at the shallow area Millepora and Pocilloporid severly affected. Acropora palifera highly susceptable. Tabular and areborescent Acropora high mortality. Montipora bimodal reponse. Astreopora not severe,12% bleached at the deeper area; 30% bleached at the shallow area Millepora and Pocilloporid severly affected. Acropora palifera highly susceptable. Tabular and areborescent Acropora high mortality. Montipora bimodal reponse. Astreopora not severe,Bleaching percent averaged from code: Severe (>50% Bleached)
436,-20.1069,148.7145,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0783,46.8,3,2002,75,298.55,6,0.41,9.9,-0.26,0.44,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
437,-20.1007,148.3156,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1601,44.25,3,2002,75,298.59,5,0.03,2.05,-0.8,0.68,15-03-2002,good cover,good cover,Bleaching percent averaged from code: Severe (>50% Bleached)
441,-20.0801,148.2979,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1354,36.16,3,2002,75,298.59,5,0.03,2.05,-0.8,0.68,15-03-2002,low cover,low cover,Bleaching percent averaged from code: Severe (>50% Bleached)
442,-20.0769,148.4869,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0641,36.16,3,2002,75,298.64,5,0.34,8.44,-0.34,0.61,15-03-2002,patch reef off Champaigne Bay with high cover,patch reef off Champaigne Bay with high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
443,-20.0667,148.5371,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0836,47.02,3,2002,75,298.63,6,0.7,14.14,0.01,0.54,15-03-2002,high cover,high cover,Bleaching percent averaged from code: Severe (>50% Bleached)
444,-20.0643,148.266,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1229,36.16,3,2002,75,298.54,5,0.51,2.2,-0.24,0.52,15-03-2002,low cover,low cover,Bleaching percent averaged from code: Severe (>50% Bleached)
445,-20.064,148.8912,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0557,47.44,3,2002,75,298.69,6,1.65,47.17,1.28,10.66,15-03-2002,ie Blue Pearl Bay,ie Blue Pearl Bay,Bleaching percent averaged from code: Severe (>50% Bleached)
446,-20.0529,148.466,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0641,36.16,3,2002,75,298.68,5,0.25,1.47,-0.45,0.6,15-03-2002,low cover,low cover,Bleaching percent averaged from code: Severe (>50% Bleached)
